Countries,Revenue_generated($),Percentage of Loan Applications_Approved,Loan Types,Percentage_of _LoanPortfolio, Percentage_of_Delinquent_Loans,Loan_origination_Cost_in_USD,Credit_Score_Ranges,Loan_Delinquency_Rate(%),Revenue Distribution_by_Region:,Revenue_generated,Region_revenue_generated,Loan_Application_Stage,Number_of_Loans_or_Conversion_Rate,Cost_Efficiency_Ratio,Time Period_Months($)
Luxembourg,9857389,89,Fixed-rate mortgage,31,3.5,434,634,3,Americas,14450270,Americas,Lead,799,75.85,10224422
Luxembourg,9333824,76,Adjustable-rate mortgage,16,2.5,276,501,1,Europe,27221642,Americas,Lead,431,65.45,11126810
Kuwait,9440763,85,Jumbo mortgage,18,"",302,373,8,Europe,29455689,Europe,Lead,417,67.2,11758920
"",9034971,73,Fixed-rate mortgage,13,3.5,308,708,2,Asia-Pacific,30178249,Middle East and Africa,Application,234,67.1,11075576
SAR United States,9655774,72,Adjustable-rate mortgage,21,1,546,331,9,Americas,14125405,Europe,Lead,535,65.33,11587321
Iceland,9855329,72,Adjustable-rate mortgage,33,2,308,787,10,Middle East and Africa,24359179,Americas,Underwriting,277,67.01,11702497
Brunei,9223392,86,Jumbo mortgage,15,2.5,349,431,9,Europe,25919194,Europe,Underwriting,598,61.48,11178544
Macao SAR,9420550,86,Jumbo mortgage,34,2,388,415,8,Europe,27693139,Americas,Lead,771,72.47,9990143
Iceland,9975825,87,Home Equity Line of Credit Construction loan,19,2,372,591,1,Americas,17889207,Europe,Application,234,73.77,10671766
Germany,9053605,83,Adjustable-rate mortgage,30,4,513,412,10,Americas,28319902,Europe,Funding,928,65.22,11216937
Denmark,9335831,75,Jumbo mortgage,9,1.5,399,634,5,Americas,12742747,Asia-Pacific,Funding,454,84.04,11966116
SAR United States,9108940,89,Home Equity Line of Credit Construction loan,31,2,570,377,6,Americas,16761593,Asia-Pacific,Application,399,64.49,9627196
United Arab Emirates,9862103,71,Fixed-rate mortgage,14,1.5,268,306,1,Middle East and Africa,32121378,Middle East and Africa,Lead,693,71.86,11110274
SAR United States,9180194,74,Adjustable-rate mortgage,11,3,253,620,5,Europe,11514096,Asia-Pacific,Application,814,67.79,10635641
Singapore,9353374,72,Jumbo mortgage,13,3,597,618,2,Middle East and Africa,22416142,Asia-Pacific,Lead,925,71.5,9658353
Darussalam,9380458,81,Adjustable-rate mortgage,34,1,516,309,8,Europe,33218321,Europe,Funding,782,75.56,10947278
SAR United States,9910023,81,Fixed-rate mortgage,11,0.5,606,423,4,Europe,17516185,Middle East and Africa,Funding,367,63.46,9592551
Kuwait,9653592,83,Jumbo mortgage,14,3,318,653,10,Americas,13290156,Americas,Application,962,73.43,10332001
United Arab Emirates,9832594,84,Home Equity Line of Credit Construction loan,37,2,473,825,5,Europe,24624118,Europe,Application,251,79.57,10262659
Switzerland,9229334,71,Adjustable-rate mortgage,35,2.5,591,419,10,Americas,23935683,Americas,Lead,298,78.5,11392055
Iceland,9816996,74,Fixed-rate mortgage,21,"",453,616,4,Americas,13232776,Asia-Pacific,Funding,405,70.59,10510661
Australia,9194292,75,Home Equity Line of Credit Construction loan,38,2,556,726,3,Americas,20194919,Americas,Application,467,80.3,9866300
Iceland,9018472,74,Jumbo mortgage,19,3.5,499,380,7,Middle East and Africa,27757131,Asia-Pacific,Lead,883,64.39,9624444
Ireland,9869481,76,Adjustable-rate mortgage,20,4,483,530,2,Middle East and Africa,19040963,Middle East and Africa,Underwriting,911,80.4,10802086
United Arab Emirates,9988371,78,Fixed-rate mortgage,16,0.5,563,570,5,Europe,22976934,Europe,Application,577,82.84,10679721
Australia,9113963,80,Jumbo mortgage,28,1.5,377,520,3,Europe,12522684,Europe,Lead,139,79.25,9987151
Kuwait,9705316,72,Jumbo mortgage,26,0.5,259,496,5,Asia-Pacific,14647029,Europe,Funding,880,65.22,10882663
Hong Kong,9925812,82,Adjustable-rate mortgage,22,2.5,565,466,2,Americas,30282021,Asia-Pacific,Lead,929,84.23,11501249
Hong Kong,9844190,81,Fixed-rate mortgage,6,"",429,700,6,Middle East and Africa,20240313,Americas,Application,241,84.52,10562027
Netherlands,9854847,72,Home Equity Line of Credit Construction loan,38,2,521,621,3,Asia-Pacific,34349261,Asia-Pacific,Funding,672,74.45,11755555
Hong Kong,9448620,76,Jumbo mortgage,29,3,378,838,4,Asia-Pacific,10861808,Europe,Application,229,76.43,11665529
Denmark,9176588,88,Home Equity Line of Credit Construction loan,31,0.5,367,559,4,Middle East and Africa,30737106,Europe,Underwriting,119,81.32,10032755
Brunei,9367413,79,Jumbo mortgage,16,4,636,354,7,Asia-Pacific,14073244,Europe,Underwriting,761,78.46,11640610
